Match_Date,Tournament_ID,Tier,Type,Team_1,Team_2,Winner,Team_1_ID,Team_2_ID,Team_1_Scout_1,Team_1_Scout_2,Team_1_Soldier_1,Team_1_Soldier_2,Team_1_Demo,Team_1_Medic,Team_2_Scout_1,Team_2_Scout_2,Team_2_Soldier_1,Team_2_Soldier_2,Team_2_Demo,Team_2_Medic
"(2009, 01, 18)",ESL_Major_3,A,playoff,compLexity Gaming,?bersexuals,2,ESL_Major_3_compLexity Gaming,ESL_Major_3_?bersexuals,REP,Reptile,TheFragile,dummy,hubris,oPlaiD,dunc,haza,skre,snap,sommie,Johnny
"(2009, 01, 22)",ESL_Major_3,A,playoff,Team Dignitas,Team Coolermaster,1,ESL_Major_3_Team Dignitas,ESL_Major_3_Team Coolermaster,Agron,Masiina,mick,appe,bybben,ryb,Byte,Coinz,Evil,Haunter,light,zerox
"(2009, 01, 27)",ESL_Major_3,A,playoff,Crack Clan,Team Druidz,1,ESL_Major_3_Crack Clan,ESL_Major_3_Team Druidz,Glufse,Jambo,Moose,Punpu,hymzi,kyynel,Matt,AppZ,dr.Justice,Springer,SKiNNie,boomeh
"(2009, 02, 01)",ESL_Major_3,A,playoff,clan00.de,redLine,1,ESL_Major_3_clan00.de,ESL_Major_3_redLine,GeX,Inqui,aves,bpf,pbL,rts,AnAkkk,CaptainHax,SlutOnFire,Tsu,heliana,ZppZ
"(2009, 02, 05)",ESL_Major_3,A,playoff,Team Dignitas,?bersexuals,2,ESL_Major_3_Team Dignitas,ESL_Major_3_?bersexuals,Agron,Masiina,mick,appe,bybben,ryb,dunc,haza,skre,snap,sommie,Johnny
"(2009, 02, 24)",ESL_Major_3,A,playoff,Crack Clan,?bersexuals,1,ESL_Major_3_Crack Clan,ESL_Major_3_?bersexuals,Glufse,Jambo,Moose,Punpu,hymzi,kyynel,dunc,haza,skre,snap,sommie,Johnny
"(2009, 03, 04)",ESL_Major_3,A,playoff,Team Dignitas,clan00.de,1,ESL_Major_3_Team Dignitas,ESL_Major_3_clan00.de,Agron,Masiina,mick,appe,bybben,ryb,GeX,Inqui,aves,bpf,pbL,rts
"(2009, 03, 16)",ESL_Major_3,A,playoff,Crack Clan,Team Dignitas,2,ESL_Major_3_Crack Clan,ESL_Major_3_Team Dignitas,Glufse,Jambo,Moose,Punpu,hymzi,kyynel,Agron,Masiina,mick,appe,bybben,ryb
"(2009, 07, 15, 23, 10)",ESEA_S3,A,playoff,20id,Evil Geniuses,1,ESEA_S3_20id,ESEA_S3_Evil Geniuses,Gaston,saber07,RocketSurgeon,A_Seagull,alexwut,Ruwin,cyzer,amr,yaug,hero,Destro,caseey
"(2009, 07, 19, 23, 15)",ESEA_S3,A,playoff,complexity gaming,loaded,1,ESEA_S3_complexity gaming,ESEA_S3_loaded,REP,oPlaiD,Reptile,Paladin,poo0p,PYYYOUR,Carnage,Enigma,animeman,relic,SolidSnake,glue
"(2009, 07, 21, 22, 30)",ESEA_S3,A,playoff,loaded,Evil Geniuses,2,ESEA_S3_loaded,ESEA_S3_Evil Geniuses,Carnage,Enigma,animeman,relic,SolidSnake,glue,cyzer,amr,yaug,hero,Destro,caseey
"(2009, 07, 22, 22, 15)",ESEA_S3,A,playoff,complexity gaming,20id,2,ESEA_S3_complexity gaming,ESEA_S3_20id,REP,oPlaiD,Reptile,Paladin,poo0p,PYYYOUR,Gaston,saber07,RocketSurgeon,A_Seagull,alexwut,Ruwin
"(2009, 07, 27, 24, 0)",ESEA_S3,A,playoff,complexity gaming,Evil Geniuses,2,ESEA_S3_complexity gaming,ESEA_S3_Evil Geniuses,REP,oPlaiD,Reptile,Paladin,poo0p,PYYYOUR,cyzer,amr,yaug,hero,Destro,caseey
"(2009, 07, 30, 22, 15)",ESEA_S3,A,playoff,20id,Evil Geniuses,1,ESEA_S3_20id,ESEA_S3_Evil Geniuses,Gaston,saber07,RocketSurgeon,A_Seagull,alexwut,Ruwin,cyzer,amr,yaug,hero,Destro,caseey
"(2009, 10, 20, 22, 50)",ESEA_S4,A,playoff,loaded,20id,2,ESEA_S4_loaded,ESEA_S4_20id,enigma,carnage,relic,Jaeger,SolidSnake,animeman,Hubris,Scruff2,A_Seagull,RocketSurgeon,Dummy,Ruwin
"(2009, 10, 21, 22, 15)",ESEA_S4,A,playoff,evil geniuses,mob-gaming,1,ESEA_S4_evil geniuses,ESEA_S4_mob-gaming,Paladin,Cyzer,pheLon,Reptile,destro,caseey,frtiz,breathe,Platinum,SureShot,davis,grillz
"(2009, 10, 27, 22, 40)",ESEA_S4,A,playoff,evil geniuses,20id,1,ESEA_S4_evil geniuses,ESEA_S4_20id,Paladin,Cyzer,pheLon,Reptile,destro,caseey,Hubris,Scruff2,A_Seagull,RocketSurgeon,Dummy,Ruwin
"(2009, 10, 28, 22, 50)",ESEA_S4,A,playoff,mob-gaming,loaded,2,ESEA_S4_mob-gaming,ESEA_S4_loaded,frtiz,breathe,Platinum,SureShot,davis,grillz,enigma,carnage,relic,Jaeger,SolidSnake,animeman
"(2009, 11, 04, 23, 10)",ESEA_S4,A,playoff,20id,loaded,2,ESEA_S4_20id,ESEA_S4_loaded,Hubris,Scruff2,A_Seagull,RocketSurgeon,Dummy,Ruwin,enigma,carnage,relic,Jaeger,SolidSnake,animeman
"(2009, 11, 12, 01, 15)",ESEA_S4,A,playoff,evil geniuses,loaded,2,ESEA_S4_evil geniuses,ESEA_S4_loaded,Paladin,Cyzer,pheLon,Reptile,destro,caseey,enigma,carnage,relic,Jaeger,SolidSnake,animeman
"(2009, 12, 06)",ESL_Major_5,A,playoff,Power Gaming,i don't know?,1,ESL_Major_5_Power Gaming,ESL_Major_5_i don't know?,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"(2009, 12, 06)",ESL_Major_5,A,playoff,Team Fruit,illegal,2,ESL_Major_5_Team Fruit,ESL_Major_5_illegal,n/a,n/a,n/a,n/a,n/a,n/a,fluffy,hocz,hymzi,olliii,paavi,vallone
"(2009, 12, 06, 22, 0)",ESEA_S5,A,regular_season,complexity,blight,1,ESEA_S5_complexity,ESEA_S5_blight,carnage,animeman,Jaeger,relic,SoLIDSnaKE,PYYYOUR,oPlaiD,pokey,A Seagull,RocketSurgeon,alexwut,GrieVe
"(2009, 12, 09)",ESL_Major_5,A,playoff,TCM-Gaming,illegal,1,ESL_Major_5_TCM-Gaming,ESL_Major_5_illegal,Byte,Springer,skiNNie,coinz,zerox,Haunter,fluffy,hocz,hymzi,olliii,paavi,vallone
"(2009, 12, 09, 20, 0)",ESEA_S5,A,regular_season,muscle milk &amp; moolians,blight,2,ESEA_S5_muscle milk &amp; moolians,ESEA_S5_blight,bLdsre,stamjally,FastFire,cbear,Ducky,-CB,oPlaiD,pokey,A Seagull,RocketSurgeon,alexwut,GrieVe
"(2009, 12, 09, 20, 30)",ESEA_S5,A,regular_season,dynamic,mob,1,ESEA_S5_dynamic,ESEA_S5_mob,Paladin,MCMUFFIN,Gaston,sequel,chupa,eckm,breathe,phaser,SureShot,Platinum,davis,grillz
"(2009, 12, 09, 21, 30)",ESEA_S5,A,regular_season,mob,evil geniuses,2,ESEA_S5_mob,ESEA_S5_evil geniuses,breathe,phaser,SureShot,Platinum,davis,grillz,cyzer,sycknesS,pheLon,Reptile,davis,caseey
"(2009, 12, 09, 22, 0)",ESEA_S5,A,regular_season,pandemic,loaded,1,ESEA_S5_pandemic,ESEA_S5_loaded,Beep,justin,ww,TLR,shade,TheFragile,BigPun,poo0p,wicKeD,REP,Warpy,SuperFly
"(2009, 12, 09, 22, 30)",ESEA_S5,A,regular_season,evil geniuses,muscle milk &amp; moolians,1,ESEA_S5_evil geniuses,ESEA_S5_muscle milk &amp; moolians,cyzer,sycknesS,pheLon,Reptile,davis,caseey,bLdsre,stamjally,FastFire,cbear,Ducky,-CB
"(2009, 12, 10, 21, 0)",ESEA_S5,A,regular_season,loaded,dynamic,1,ESEA_S5_loaded,ESEA_S5_dynamic,BigPun,poo0p,wicKeD,REP,Warpy,SuperFly,Paladin,MCMUFFIN,Gaston,sequel,chupa,eckm
"(2009, 12, 13)",ESL_Major_5,A,playoff,Power Gaming,blighteu,1,ESL_Major_5_Power Gaming,ESL_Major_5_blighteu,n/a,n/a,n/a,n/a,n/a,n/a,M0re,Monkiainen,Rake,dajackal,perry,arjeni
"(2009, 12, 13, 22, 0)",ESEA_S5,A,regular_season,mob,complexity,2,ESEA_S5_mob,ESEA_S5_complexity,breathe,phaser,SureShot,Platinum,davis,grillz,carnage,animeman,Jaeger,relic,SoLIDSnaKE,PYYYOUR
"(2009, 12, 14, 22, 30)",ESEA_S5,A,regular_season,dynamic,muscle milk &amp; moolians,2,ESEA_S5_dynamic,ESEA_S5_muscle milk &amp; moolians,Paladin,MCMUFFIN,Gaston,sequel,chupa,eckm,bLdsre,stamjally,FastFire,cbear,Ducky,-CB
"(2009, 12, 15, 21, 30)",ESEA_S5,A,regular_season,pandemic,blight,1,ESEA_S5_pandemic,ESEA_S5_blight,Beep,justin,ww,TLR,shade,TheFragile,oPlaiD,pokey,A Seagull,RocketSurgeon,alexwut,GrieVe
"(2009, 12, 16, 21, 0)",ESEA_S5,A,regular_season,dynamic,evil geniuses,2,ESEA_S5_dynamic,ESEA_S5_evil geniuses,Paladin,MCMUFFIN,Gaston,sequel,chupa,eckm,cyzer,sycknesS,pheLon,Reptile,davis,caseey
"(2009, 12, 16, 22, 30)",ESEA_S5,A,regular_season,muscle milk &amp; moolians,complexity,2,ESEA_S5_muscle milk &amp; moolians,ESEA_S5_complexity,bLdsre,stamjally,FastFire,cbear,Ducky,-CB,carnage,animeman,Jaeger,relic,SoLIDSnaKE,PYYYOUR
"(2010, 01, 04, 21, 0)",ESEA_S5,A,regular_season,mob,pandemic,2,ESEA_S5_mob,ESEA_S5_pandemic,breathe,phaser,SureShot,Platinum,davis,grillz,Beep,justin,ww,TLR,shade,TheFragile
"(2010, 01, 05, 22, 0)",ESEA_S5,A,regular_season,loaded,mob,1,ESEA_S5_loaded,ESEA_S5_mob,BigPun,poo0p,wicKeD,REP,Warpy,SuperFly,breathe,phaser,SureShot,Platinum,davis,grillz
"(2010, 01, 06, 21, 30)",ESEA_S5,A,regular_season,evil geniuses,loaded,2,ESEA_S5_evil geniuses,ESEA_S5_loaded,cyzer,sycknesS,pheLon,Reptile,davis,caseey,BigPun,poo0p,wicKeD,REP,Warpy,SuperFly
"(2010, 01, 06, 22, 0)",ESEA_S5,A,regular_season,muscle milk &amp; moolians,pandemic,1,ESEA_S5_muscle milk &amp; moolians,ESEA_S5_pandemic,bLdsre,stamjally,FastFire,cbear,Ducky,-CB,Beep,justin,ww,TLR,shade,TheFragile
"(2010, 01, 07, 22, 0)",ESEA_S5,A,regular_season,muscle milk &amp; moolians,mob,1,ESEA_S5_muscle milk &amp; moolians,ESEA_S5_mob,bLdsre,stamjally,FastFire,cbear,Ducky,-CB,breathe,phaser,SureShot,Platinum,davis,grillz
"(2010, 01, 10, 21, 30)",ESEA_S5,A,regular_season,blight,loaded,1,ESEA_S5_blight,ESEA_S5_loaded,oPlaiD,pokey,A Seagull,RocketSurgeon,alexwut,GrieVe,BigPun,poo0p,wicKeD,REP,Warpy,SuperFly
"(2010, 01, 11, 21, 30)",ESEA_S5,A,regular_season,pandemic,dynamic,1,ESEA_S5_pandemic,ESEA_S5_dynamic,Beep,justin,ww,TLR,shade,TheFragile,Paladin,MCMUFFIN,Gaston,sequel,chupa,eckm
"(2010, 01, 11, 22, 0)",ESEA_S5,A,regular_season,blight,mob,1,ESEA_S5_blight,ESEA_S5_mob,oPlaiD,pokey,A Seagull,RocketSurgeon,alexwut,GrieVe,breathe,phaser,SureShot,Platinum,davis,grillz
"(2010, 01, 11, 22, 30)",ESEA_S5,A,regular_season,pandemic,dynamic,1,ESEA_S5_pandemic,ESEA_S5_dynamic,Beep,justin,ww,TLR,shade,TheFragile,Paladin,MCMUFFIN,Gaston,sequel,chupa,eckm
"(2010, 01, 11, 23, 30)",ESEA_S5,A,regular_season,blight,evil geniuses,2,ESEA_S5_blight,ESEA_S5_evil geniuses,oPlaiD,pokey,A Seagull,RocketSurgeon,alexwut,GrieVe,cyzer,sycknesS,pheLon,Reptile,davis,caseey
"(2010, 01, 12, 22, 0)",ESEA_S5,A,regular_season,evil geniuses,pandemic,1,ESEA_S5_evil geniuses,ESEA_S5_pandemic,cyzer,sycknesS,pheLon,Reptile,davis,caseey,Beep,justin,ww,TLR,shade,TheFragile
"(2010, 01, 13, 11, 30)",ESEA_S5,A,regular_season,blight,mob,1,ESEA_S5_blight,ESEA_S5_mob,oPlaiD,pokey,A Seagull,RocketSurgeon,alexwut,GrieVe,breathe,phaser,SureShot,Platinum,davis,grillz
"(2010, 01, 13, 12, 0)",ESEA_S5,A,regular_season,dynamic,mob,1,ESEA_S5_dynamic,ESEA_S5_mob,Paladin,MCMUFFIN,Gaston,sequel,chupa,eckm,breathe,phaser,SureShot,Platinum,davis,grillz
"(2010, 01, 13, 12, 0)",ESEA_S5,A,regular_season,loaded,mob,1,ESEA_S5_loaded,ESEA_S5_mob,BigPun,poo0p,wicKeD,REP,Warpy,SuperFly,breathe,phaser,SureShot,Platinum,davis,grillz
"(2010, 01, 13, 12, 0)",ESEA_S5,A,regular_season,mob,pandemic,2,ESEA_S5_mob,ESEA_S5_pandemic,breathe,phaser,SureShot,Platinum,davis,grillz,Beep,justin,ww,TLR,shade,TheFragile
"(2010, 01, 13, 12, 0)",ESEA_S5,A,regular_season,mob,complexity,2,ESEA_S5_mob,ESEA_S5_complexity,breathe,phaser,SureShot,Platinum,davis,grillz,carnage,animeman,Jaeger,relic,SoLIDSnaKE,PYYYOUR
"(2010, 01, 13, 12, 0)",ESEA_S5,A,regular_season,evil geniuses,mob,1,ESEA_S5_evil geniuses,ESEA_S5_mob,cyzer,sycknesS,pheLon,Reptile,davis,caseey,breathe,phaser,SureShot,Platinum,davis,grillz
"(2010, 01, 13, 12, 0)",ESEA_S5,A,regular_season,mob,loaded,2,ESEA_S5_mob,ESEA_S5_loaded,breathe,phaser,SureShot,Platinum,davis,grillz,BigPun,poo0p,wicKeD,REP,Warpy,SuperFly
"(2010, 01, 13, 22, 0)",ESEA_S5,A,regular_season,complexity,evil geniuses,1,ESEA_S5_complexity,ESEA_S5_evil geniuses,carnage,animeman,Jaeger,relic,SoLIDSnaKE,PYYYOUR,cyzer,sycknesS,pheLon,Reptile,davis,caseey
"(2010, 01, 13, 22, 0)",ESEA_S5,A,regular_season,mob,muscle milk &amp; moolians,2,ESEA_S5_mob,ESEA_S5_muscle milk &amp; moolians,breathe,phaser,SureShot,Platinum,davis,grillz,bLdsre,stamjally,FastFire,cbear,Ducky,-CB
"(2010, 01, 13, 23, 0)",ESEA_S5,A,regular_season,blight,loaded,1,ESEA_S5_blight,ESEA_S5_loaded,oPlaiD,pokey,A Seagull,RocketSurgeon,alexwut,GrieVe,BigPun,poo0p,wicKeD,REP,Warpy,SuperFly
"(2010, 01, 14, 01, 0)",ESEA_S5,A,regular_season,complexity,evil geniuses,2,ESEA_S5_complexity,ESEA_S5_evil geniuses,carnage,animeman,Jaeger,relic,SoLIDSnaKE,PYYYOUR,cyzer,sycknesS,pheLon,Reptile,davis,caseey
"(2010, 01, 14, 20, 0)",ESEA_S5,A,regular_season,blight,dynamic,2,ESEA_S5_blight,ESEA_S5_dynamic,oPlaiD,pokey,A Seagull,RocketSurgeon,alexwut,GrieVe,Paladin,MCMUFFIN,Gaston,sequel,chupa,eckm
"(2010, 01, 14, 22, 30)",ESEA_S5,A,regular_season,dynamic,complexity,1,ESEA_S5_dynamic,ESEA_S5_complexity,Paladin,MCMUFFIN,Gaston,sequel,chupa,eckm,carnage,animeman,Jaeger,relic,SoLIDSnaKE,PYYYOUR
"(2010, 01, 17)",ESL_Major_5,A,playoff,illegal,i don't know?,1,ESL_Major_5_illegal,ESL_Major_5_i don't know?,fluffy,hocz,hymzi,olliii,paavi,vallone,n/a,n/a,n/a,n/a,n/a,n/a
"(2010, 01, 17)",ESL_Major_5,A,playoff,blighteu,Team Fruit,1,ESL_Major_5_blighteu,ESL_Major_5_Team Fruit,M0re,Monkiainen,Rake,dajackal,perry,arjeni,n/a,n/a,n/a,n/a,n/a,n/a
"(2010, 01, 18, 21, 30)",ESEA_S5,A,regular_season,pandemic,muscle milk &amp; moolians,1,ESEA_S5_pandemic,ESEA_S5_muscle milk &amp; moolians,Beep,justin,ww,TLR,shade,TheFragile,bLdsre,stamjally,FastFire,cbear,Ducky,-CB
"(2010, 01, 18, 22, 0)",ESEA_S5,A,regular_season,mob,blight,2,ESEA_S5_mob,ESEA_S5_blight,breathe,phaser,SureShot,Platinum,davis,grillz,oPlaiD,pokey,A Seagull,RocketSurgeon,alexwut,GrieVe
"(2010, 01, 19)",ESL_Major_5,A,playoff,Power Gaming,TCM-Gaming,2,ESL_Major_5_Power Gaming,ESL_Major_5_TCM-Gaming,n/a,n/a,n/a,n/a,n/a,n/a,Byte,Springer,skiNNie,coinz,zerox,Haunter
"(2010, 01, 19, 22, 0)",ESEA_S5,A,regular_season,evil geniuses,muscle milk &amp; moolians,2,ESEA_S5_evil geniuses,ESEA_S5_muscle milk &amp; moolians,cyzer,sycknesS,pheLon,Reptile,davis,caseey,bLdsre,stamjally,FastFire,cbear,Ducky,-CB
"(2010, 01, 20, 19, 30)",ESEA_S5,A,regular_season,complexity,loaded,1,ESEA_S5_complexity,ESEA_S5_loaded,carnage,animeman,Jaeger,relic,SoLIDSnaKE,PYYYOUR,BigPun,poo0p,wicKeD,REP,Warpy,SuperFly
"(2010, 01, 20, 22, 0)",ESEA_S5,A,regular_season,complexity,dynamic,1,ESEA_S5_complexity,ESEA_S5_dynamic,carnage,animeman,Jaeger,relic,SoLIDSnaKE,PYYYOUR,Paladin,MCMUFFIN,Gaston,sequel,chupa,eckm
"(2010, 01, 21, 23, 0)",ESEA_S5,A,regular_season,evil geniuses,blight,1,ESEA_S5_evil geniuses,ESEA_S5_blight,cyzer,sycknesS,pheLon,Reptile,davis,caseey,oPlaiD,pokey,A Seagull,RocketSurgeon,alexwut,GrieVe
"(2010, 01, 25, 22, 0)",ESEA_S5,A,regular_season,muscle milk &amp; moolians,dynamic,1,ESEA_S5_muscle milk &amp; moolians,ESEA_S5_dynamic,bLdsre,stamjally,FastFire,cbear,Ducky,-CB,Paladin,MCMUFFIN,Gaston,sequel,chupa,eckm
"(2010, 01, 27, 21, 30)",ESEA_S5,A,regular_season,loaded,muscle milk &amp; moolians,2,ESEA_S5_loaded,ESEA_S5_muscle milk &amp; moolians,BigPun,poo0p,wicKeD,REP,Warpy,SuperFly,bLdsre,stamjally,FastFire,cbear,Ducky,-CB
"(2010, 01, 27, 22, 0)",ESEA_S5,A,regular_season,dynamic,evil geniuses,2,ESEA_S5_dynamic,ESEA_S5_evil geniuses,Paladin,MCMUFFIN,Gaston,sequel,chupa,eckm,cyzer,sycknesS,pheLon,Reptile,davis,caseey
"(2010, 01, 27, 22, 30)",ESEA_S5,A,regular_season,evil geniuses,loaded,1,ESEA_S5_evil geniuses,ESEA_S5_loaded,cyzer,sycknesS,pheLon,Reptile,davis,caseey,BigPun,poo0p,wicKeD,REP,Warpy,SuperFly
"(2010, 01, 28)",ESL_Major_5,A,playoff,illegal,blighteu,1,ESL_Major_5_illegal,ESL_Major_5_blighteu,fluffy,hocz,hymzi,olliii,paavi,vallone,M0re,Monkiainen,Rake,dajackal,perry,arjeni
"(2010, 01, 28, 22, 30)",ESEA_S5,A,regular_season,muscle milk &amp; moolians,blight,1,ESEA_S5_muscle milk &amp; moolians,ESEA_S5_blight,bLdsre,stamjally,FastFire,cbear,Ducky,-CB,oPlaiD,pokey,A Seagull,RocketSurgeon,alexwut,GrieVe
"(2010, 01, 31, 21, 0)",ESEA_S5,A,regular_season,complexity,pandemic,1,ESEA_S5_complexity,ESEA_S5_pandemic,carnage,animeman,Jaeger,relic,SoLIDSnaKE,PYYYOUR,Beep,justin,ww,TLR,shade,TheFragile
"(2010, 01, 31, 22, 0)",ESEA_S5,A,regular_season,pandemic,complexity,2,ESEA_S5_pandemic,ESEA_S5_complexity,Beep,justin,ww,TLR,shade,TheFragile,carnage,animeman,Jaeger,relic,SoLIDSnaKE,PYYYOUR
"(2010, 02, 01, 22, 0)",ESEA_S5,A,regular_season,dynamic,loaded,1,ESEA_S5_dynamic,ESEA_S5_loaded,Paladin,MCMUFFIN,Gaston,sequel,chupa,eckm,BigPun,poo0p,wicKeD,REP,Warpy,SuperFly
"(2010, 02, 01, 22, 0)",ESEA_S5,A,regular_season,pandemic,blight,1,ESEA_S5_pandemic,ESEA_S5_blight,Beep,justin,ww,TLR,shade,TheFragile,oPlaiD,pokey,A Seagull,RocketSurgeon,alexwut,GrieVe
"(2010, 02, 03)",ESL_Major_5,A,playoff,Power Gaming,illegal,2,ESL_Major_5_Power Gaming,ESL_Major_5_illegal,n/a,n/a,n/a,n/a,n/a,n/a,fluffy,hocz,hymzi,olliii,paavi,vallone
"(2010, 02, 03, 22, 0)",ESEA_S5,A,regular_season,complexity,muscle milk &amp; moolians,2,ESEA_S5_complexity,ESEA_S5_muscle milk &amp; moolians,carnage,animeman,Jaeger,relic,SoLIDSnaKE,PYYYOUR,bLdsre,stamjally,FastFire,cbear,Ducky,-CB
"(2010, 02, 04, 0, 0)",ESEA_S5,A,regular_season,blight,complexity,2,ESEA_S5_blight,ESEA_S5_complexity,oPlaiD,pokey,A Seagull,RocketSurgeon,alexwut,GrieVe,carnage,animeman,Jaeger,relic,SoLIDSnaKE,PYYYOUR
"(2010, 02, 08, 22, 0)",ESEA_S5,A,regular_season,blight,dynamic,2,ESEA_S5_blight,ESEA_S5_dynamic,oPlaiD,pokey,A Seagull,RocketSurgeon,alexwut,GrieVe,Paladin,MCMUFFIN,Gaston,sequel,chupa,eckm
"(2010, 02, 09, 21, 30)",ESEA_S5,A,regular_season,pandemic,evil geniuses,2,ESEA_S5_pandemic,ESEA_S5_evil geniuses,Beep,justin,ww,TLR,shade,TheFragile,cyzer,sycknesS,pheLon,Reptile,davis,caseey
"(2010, 02, 09, 22, 30)",ESEA_S5,A,regular_season,dynamic,evil geniuses,2,ESEA_S5_dynamic,ESEA_S5_evil geniuses,Paladin,MCMUFFIN,Gaston,sequel,chupa,eckm,cyzer,sycknesS,pheLon,Reptile,davis,caseey
"(2010, 02, 09, 22, 30)",ESEA_S5,A,regular_season,muscle milk &amp; moolians,pandemic,2,ESEA_S5_muscle milk &amp; moolians,ESEA_S5_pandemic,bLdsre,stamjally,FastFire,cbear,Ducky,-CB,Beep,justin,ww,TLR,shade,TheFragile
"(2010, 02, 10, 22, 30)",ESEA_S5,A,regular_season,loaded,complexity,2,ESEA_S5_loaded,ESEA_S5_complexity,BigPun,poo0p,wicKeD,REP,Warpy,SuperFly,carnage,animeman,Jaeger,relic,SoLIDSnaKE,PYYYOUR
"(2010, 02, 10, 23, 30)",ESEA_S5,A,regular_season,evil geniuses,blight,1,ESEA_S5_evil geniuses,ESEA_S5_blight,cyzer,sycknesS,pheLon,Reptile,davis,caseey,oPlaiD,pokey,A Seagull,RocketSurgeon,alexwut,GrieVe
"(2010, 02, 11, 21, 30)",ESEA_S5,A,regular_season,loaded,muscle milk &amp; moolians,2,ESEA_S5_loaded,ESEA_S5_muscle milk &amp; moolians,BigPun,poo0p,wicKeD,REP,Warpy,SuperFly,bLdsre,stamjally,FastFire,cbear,Ducky,-CB
"(2010, 02, 11, 22, 0)",ESEA_S5,A,regular_season,muscle milk &amp; moolians,complexity,2,ESEA_S5_muscle milk &amp; moolians,ESEA_S5_complexity,bLdsre,stamjally,FastFire,cbear,Ducky,-CB,carnage,animeman,Jaeger,relic,SoLIDSnaKE,PYYYOUR
"(2010, 02, 11, 22, 30)",ESEA_S5,A,regular_season,loaded,pandemic,2,ESEA_S5_loaded,ESEA_S5_pandemic,BigPun,poo0p,wicKeD,REP,Warpy,SuperFly,Beep,justin,ww,TLR,shade,TheFragile
"(2010, 02, 11, 23, 0)",ESEA_S5,A,regular_season,loaded,pandemic,2,ESEA_S5_loaded,ESEA_S5_pandemic,BigPun,poo0p,wicKeD,REP,Warpy,SuperFly,Beep,justin,ww,TLR,shade,TheFragile
